page_name,page_id,total_ads,unique_ads,percent_unique,avg_words,avg_spend,per_ad_avg_spend,total_avg_impressions,per_ad_avg_impression,avg_ad_min_audience,avg_ad_runtime,avg_female_13_17,avg_female_18_24,avg_female_25_34,avg_female_35_44,avg_female_45_54,avg_female_55_64,avg_female_65_plus,avg_male_13_17,avg_male_18_24,avg_male_25_34,avg_male_35_44,avg_male_45_54,avg_male_55_64,avg_male_65_plus,avg_female,avg_male,avg_13_17,avg_18_24,avg_25_34,avg_35_44,avg_45_54,avg_55_64,avg_65_plus,avg_pha,avg_stc,avg_jhc,avg_plk,avg_kvk,avg_ulk,avg_lbk,avg_hkk,avg_pak,avg_vys,avg_jhm,avg_olk,avg_msk,avg_zlk
Společnost E,419916784781866,9,3,0.333,15,14646,1627,163496,18166,488890,20.8,0,0,0.269,0.192,0.1,0.065,0.115,0,0,0.067,0.055,0.033,0.034,0.065,0.74,0.254,0,0,0.336,0.246,0.132,0.099,0.179,0.235,0.11,0.05,0.045,0.029,0.076,0.039,0.046,0.038,0.034,0.111,0.046,0.095,0.044
Tomáš Teplý,110285068380507,9,8,0.889,72,21296,2366,217996,24222,144445,30.3,0,0.065,0.043,0.074,0.098,0.104,0.14,0,0.064,0.071,0.097,0.091,0.068,0.079,0.524,0.47,0,0.129,0.114,0.171,0.189,0.172,0.218,0,0.002,0,0,0,0,0,0.149,0.714,0.015,0.01,0.108,0.002,0
BlueTV,1956144064659620,8,8,1,56,39496,4937,654996,81874,1000001,3.6,0,0.003,0.014,0.054,0.139,0.109,0,0,0.012,0.082,0.21,0.255,0.121,0,0.318,0.68,0,0.015,0.096,0.263,0.393,0.231,0,0.089,0.103,0.059,0.058,0.036,0.105,0.049,0.054,0.05,0.046,0.108,0.062,0.13,0.05
CARE Česká republika,157741540937883,8,3,0.375,11,9096,1137,399996,50000,100001,28.5,0,0,0,0.301,0.163,0.077,0.069,0,0,0,0.194,0.102,0.041,0.043,0.609,0.38,0,0,0,0.495,0.265,0.118,0.112,0.301,0.11,0.047,0.044,0.031,0.077,0.039,0.036,0.036,0.03,0.115,0.038,0.064,0.034
Exuberant flock,100255336105296,8,1,0.125,51,396,50,33996,4250,1000001,0.5,0,0,0.112,0.142,0.076,0.047,0.033,0,0,0.179,0.189,0.117,0.063,0.043,0.41,0.59,0,0,0.291,0.331,0.192,0.11,0.076,0.127,0.124,0.054,0.058,0.036,0.114,0.05,0.055,0.055,0.041,0.094,0.052,0.1,0.039
Janis patří do Senátu,103689182413424,8,8,1,99,16496,2062,147996,18500,18251,3.1,0,0.019,0.122,0.184,0.151,0.08,0.061,0,0.019,0.099,0.108,0.086,0.038,0.029,0.617,0.379,0,0.037,0.221,0.292,0.238,0.118,0.09,0.083,0.915,0,0.001,0,0,0,0,0,0,0,0,0,0
KSČM Praha,280553792042816,8,6,0.75,281,26646,3331,154496,19312,562501,6.4,0,0.011,0.02,0.022,0.038,0.071,0.121,0,0.072,0.156,0.132,0.129,0.106,0.114,0.283,0.71,0,0.083,0.176,0.154,0.168,0.177,0.235,0.838,0.059,0.007,0.007,0.004,0.014,0.007,0.007,0.006,0.005,0.014,0.008,0.016,0.007
Lichoceves Noutonice krásnější,103248284660853,8,8,1,110,12396,1550,113996,14250,152876,15.9,0,0.024,0.139,0.229,0.199,0.147,0.14,0,0.013,0.02,0.02,0.021,0.019,0.028,0.878,0.121,0,0.037,0.159,0.249,0.22,0.166,0.168,0.302,0.597,0.008,0.007,0.004,0.012,0.006,0.007,0.006,0.006,0.013,0.007,0.015,0.006
My jsme Přísaha Královéhradecký kraj,102260195757507,8,6,0.75,103,22846,2856,221996,27750,40626,3.9,0,0.054,0.098,0.103,0.102,0.082,0.086,0,0.062,0.122,0.11,0.084,0.047,0.047,0.524,0.472,0,0.116,0.22,0.212,0.186,0.129,0.133,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nestlé,263441620339662,8,1,0.125,0,83246,10406,2919996,365000,1000001,7.5,0,0.305,0.203,0.049,0.003,0,0,0.001,0.224,0.169,0.036,0.002,0,0,0.56,0.431,0.001,0.53,0.372,0.084,0.004,0,0,0.459,0,0.033,0.056,0.014,0.024,0.015,0.028,0.108,0.015,0.118,0.034,0.072,0.022
